term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
地区_乐山市,0.15751750959412725,0.013063017240105414,12.058279239693947,5.752328309703171e-33,0.13190744535159257,0.18312757383666192
地区_九江市,0.18355218101961357,6.718256158504576e-13,273214025617.72913,0.0,0.18355218101829646,0.18355218102093068
地区_云浮市,-0.11788143831088282,1.0410479230385877e-12,-113233440749.59882,0.0,-0.1178814383129238,-0.11788143830884185
地区_亳州市,-0.5480284768056198,0.013063017240083824,-41.95267193891441,0.0,-0.5736385410481122,-0.5224184125631275
地区_伊春市,-0.2895031536325093,7.092355399125536e-13,-408190421010.4926,0.0,-0.2895031536338997,-0.28950315363111884
地区_佛山市,1.3445566962752478,1.060630938251808e-12,1267695149918.427,0.0,1.3445566962731683,1.3445566962773272
地区_佳木斯市,-0.0124340415063382,0.01306301724021124,-0.9518506542319416,0.34122483368574624,-0.038044105749080334,0.013176022736403933
地区_保定市,-0.11304546804948074,9.31682880188677e-13,-121334705674.30376,0.0,-0.1130454680513073,-0.11304546804765417
地区_保山市,-0.4446697796088859,8.758526493486954e-13,-507699303004.3955,0.0,-0.444669779610603,-0.44466977960716875
地区_信阳市,-0.14697338553020498,7.079109227275644e-13,-207615648821.91663,0.0,-0.14697338553159284,-0.1469733855288171
地区_六安市,-0.45309049942900337,6.943013325611494e-13,-652584804579.931,0.0,-0.45309049943036456,-0.4530904994276422
地区_六盘水市,-0.02511432855119189,0.016328771550359736,-1.5380415160893472,0.12411012492718754,-0.05712690885480715,0.006898251752423375
地区_兰州市,0.5291275014723054,0.014695894395188267,36.0051241008885,3.8161928718478038e-249,0.5003161791993173,0.5579388237452935
地区_内江市,-0.09560181112810398,9.25775579305515e-13,-103266723885.52435,0.0,-0.09560181112991896,-0.095601811126289
地区_包头市,1.3533995572265196,1.1849718946804589e-12,1142136419692.4512,0.0,1.3533995572241966,1.3533995572288426
地区_北海市,0.4229555690991998,7.650942496060842e-13,552814988894.4563,0.0,0.4229555690976998,0.42295556910069976
地区_十堰市,0.12450919431872041,1.2444378423803057e-12,100052561950.83615,0.0,0.12450919431628069,0.12450919432116014
地区_南京市,1.3359173606429111,1.0493644118740264e-12,1273072867277.0015,0.0,1.3359173606408539,1.3359173606449684
地区_南充市,-0.3261018640849066,1.086850370041136e-12,-300043017027.7846,0.0,-0.3261018640870374,-0.3261018640827758
地区_南宁市,0.2721610227871407,0.01469589439521429,18.51952766316624,8.410572994626144e-74,0.2433497005141016,0.30097234506017984
地区_南平市,0.35717067735472874,0.016328771550292488,21.87370165934687,8.725434667116215e-101,0.3251580970512453,0.38918325765821216
地区_南昌市,0.843259923598866,1.037101641395278e-12,813092844462.55,0.0,0.8432599235968328,0.8432599236008993
地区_南通市,0.898226557491725,0.014695894395281123,61.12091808309041,0.0,0.8694152352185548,0.9270378797648952
地区_南阳市,-0.08172869051775722,0.013063017240176467,-6.256494117330979,4.310741280635541e-10,-0.10733875476043118,-0.05611862627508325
地区_厦门市,1.2325800727402985,1.2590307929245594e-12,978991204716.4315,0.0,1.2325800727378302,1.2325800727427667
地区_双鸭山市,0.03937754911562725,8.129624796714577e-13,48437105155.874954,0.0,0.03937754911403343,0.039377549117221064
地区_台州市,0.7021907357611328,8.094095207770427e-13,867534564069.646,0.0,0.7021907357595459,0.7021907357627196
地区_合肥市,0.8480122510129229,9.781706227492666e-13,866936944629.846,0.0,0.8480122510110052,0.8480122510148406
地区_吉安市,-0.22187718995103323,0.013063017240094978,-16.985141018570683,9.999266050197553e-63,-0.24748725419354745,-0.196267125708519
地区_吉林市,0.45962973202035196,1.1029849718799828e-12,416714410203.5552,0.0,0.4596297320181896,0.45962973202251434
地区_吕梁市,0.017450557035979586,9.44149212523212e-13,18482838098.591923,0.0,0.01745055703412858,0.01745055703783059
地区_吴忠市,-0.11396008642836275,0.016328771550269388,-6.979097360602284,3.413156719384362e-12,-0.14597266673180087,-0.08194750612492462
地区_周口市,-0.3625801310813975,1.0908413517610518e-12,-332385759392.0958,0.0,-0.36258013108353615,-0.3625801310792589
地区_呼伦贝尔市,0.42399977418754986,0.014695894395180088,28.85158009345875,7.656236230480258e-168,0.3951884519145778,0.4528110964605219
地区_呼和浩特市,1.0514546765940076,0.013063017240246182,80.49095069357745,0.0,1.025844612351197,1.0770647408368181
地区_咸宁市,0.0908859916415814,0.01469589439528651,6.184447791808557,6.795948871068535e-10,0.0620746693684007,0.1196973139147621
地区_咸阳市,0.14031198181978866,0.016328771550337486,8.592929442808492,1.160039378414699e-17,0.108299401516217,0.1723245621233603
地区_哈尔滨市,0.5399635539337782,7.794752353956341e-13,692727016092.7072,0.0,0.53996355393225,0.5399635539353063
地区_唐山市,0.9559273081611837,0.013063017240175358,73.17814028609146,0.0,0.9303172439185119,0.9815373724038554
